날짜,번호,뉴스 제목
2023.10.16,23,빈대 나온 인천 찜질방 뒤늦게 영업 중단…한국도 위험하다
2023.10.16,24,"인천 사우나에 빈대 출몰 확인…""찜질방 운영 잠정 중단"""
2023.10.16,25,"인천 사우나서 빈대 출몰…""찜질방 운영 잠정 중단"""
2023.10.16,26,"'빈대 출몰' 인천 사우나 행정처분, ""당분간 운영 중단"""
2023.10.16,27,[60초 뉴스]프랑스 ‘빈대’ 한국 상륙했나?…인천서 빈대 출몰
2023.10.16,28,"인천 사우나서 빈대 발견... ""찜질방 운영중단"""
2023.10.16,29,"인천 사우나서 빈대 기어나왔다…""한 달 전 출몰, 박멸 어려워"""
2023.10.17,1,"‘악! 진짜 빈대’…논란된 인천 찜질방, 잠정 운영 중단"
2023.10.17,2,"""사람 미치게하는 끝판왕 해충"" 빈대, 인천 사우나에도 출몰했다"
2023.10.17,3,[뉴스딱] 유튜버 영상 사실이었다…사우나서 발견된 '골칫거리'
2023.10.17,4,“물리면 정신적 고통”… 한국도 ‘빈대의 습격’ 비상
2023.10.17,5,한국에 나타난 위험한 ‘이 벌레’...이것으로 확인 가능하다는데
2023.10.18,1,"프랑스 휩쓴 빈대, 한국 상륙?"
2023.10.18,2,“물리면 고통” 한국에 등장한 공포의 ‘이 벌레’…‘이것’하면 확...
2023.10.18,3,"""호텔도 안심 못 해"" 15년차 호텔리어의 '빈대 찾는 법'"
2023.10.18,4,"파리도, 인천 찜질방도 ‘빈대 비상’…3500년 전 이집트 무덤에서도"
2023.10.18,5,한국 사우나에도 빈대가… 15년차 호텔리어가 밝힌 확인 방법은
2023.10.18,6,[분석] 근절됐던 빈대가 다시 돌아온다...왔다??
2023.10.18,7,"""'빈대' 찾으려면 먼저 불을 끈 뒤…"" '꿀팁' 공개한 베테랑 호텔리어"
2023.10.19,1,[포토타임] '남한강 도하하는 K21' 한미 연합 도하훈련 실시
2023.10.19,2,"공포의 빈대, 인천 사우나 이어 전혀 예상 못한 곳에서도 출몰했다"
2023.10.19,3,계명대 신축 기숙사 빈대 출몰에 대학교 전체 소독
2023.10.19,4,"""두드러기에 고열…침대서 빈대"" 계명대 쉬쉬하다 소독"
2023.10.19,5,검은 벌레가 드글드글… 계명대 신축 기숙사에 빈대 출몰해 대학교 전체...
2023.10.19,6,한국도 빈대 습격?…이번엔 대학기숙사 '발칵'
2023.10.19,7,"파리 휩쓴 '빈대 공포', 한국도?…이번엔 대학 기숙사에 출몰"
2023.10.19,8,기숙사 매트리스 아래 보고 깜짝…대학교 발칵 뒤집힌 이유
2023.10.19,9,“영국 국적 학생이 사용”...대학교 기숙사에 빈대 출몰 '발칵'
2023.10.19,10,프랑스 파리에 이어 국내 기숙사까지…계명대 신축 기숙사에 빈대 출몰
2023.10.19,11,"""두드러기에 고열…대학 기숙사 침대서 빈대"" 쉬쉬하다 소독"
2023.10.19,12,"대학교 기숙사 침대에 빈대 우글우글…""영국 학생 쓰던 방"""
2023.10.19,13,"""대구 유명 대학교 기숙사에서 빈대 출몰했는데 학교는 나 몰라라 합니..."
2023.10.19,14,“으악 이게 뭐야”...계명대 신축 기숙사에 빈대 출몰해 대학교 전체 ...
2023.10.19,15,계명대 신축 기숙사 빈대 출몰…“영국 유학생 머물던 방” [영상]
2023.10.19,16,인천 사우나 이어 대구 계명대 기숙사도 빈대 나와
2023.10.19,17,80년대 박멸됐다고 알려진 '그 벌레'..계명대 기숙사서 목격
2023.10.19,18,대구 계명대 신축 기숙사에서 빈대 나와...방역 착수
2023.10.19,19,계명대 신축 기숙사에 빈대 출몰…학교 전체 소독 실시
2023.10.19,20,“이거 빈대 맞나?”…대학 기숙사 매트리스 밑에서 ‘꿈틀꿈틀’
2023.10.19,21,계명대 신축 기숙사 '빈대' 출몰…대학은 쉬쉬하다 뒤늦게 소독
2023.10.19,22,계명대 기숙사에서 빈대 출몰…두드러기·고열 피해 호소
2023.10.19,23,"""두드러기에 고열까지""...이번엔 계명대 기숙사에서 '빈대 출몰'"
2023.10.19,24,'모기 물린 자국 아니었네' 대구 계명대 신축 기숙사 빈대 출몰 사태
2023.10.19,25,"""침대 들춰보니 벌레 후두둑"" 계명대 신축 기숙사 빈대 출몰"
2023.10.19,26,대학 기숙사서 빈대에 물려 고열…“영국 학생 쓰던 방”
2023.10.19,27,"""두드러기에 고열로 병원 신세""…'이것' 출몰에 난리 난 대학 기숙사는..."
2023.10.19,28,"""빈대 물려 고열, 염증수치 400""…영국 학생 쓰던 기숙사방 발칵"
2023.10.19,29,“고열에 염증 수치 400” 신축 기숙사에 빈대 출몰… 계명대 뒤늦게 방...
2023.10.19,30,대학교 기숙사에 빈대 출몰…'쉬쉬'하다 뒤늦게 방역
2023.10.19,31,대구 계명대 신축 기숙사 침대 밑에서 발견된 건 크기가 커진 빈대였고...
2023.10.19,32,빈대와의 전쟁? 인천 사우나 이어 계명대서도 '베드버그' 피해 발생
2023.10.19,33,[e와글] 계명대 기숙사 '빈대 문제' 쉬쉬하다 뒤늦은 방역⋯ 누리꾼들 ...
2023.10.19,34,계명대 신축 기숙사서 때아닌 '빈대' 소동…9월 중순부터 시작된 듯
2023.10.19,35,계명대 기숙사서 빈대 출몰.. 대학 전체 소독
2023.10.19,36,"""고열에 염증"" 계명대 기숙사 침대서도 빈대 출몰…전체 소독 실시"
2023.10.19,37,물림 호소에 확산하는 빈대 ‘공포’…인천 사우나에 이어 계명대 기숙...
2023.10.19,38,근절됐던 빈대가 다시⋯대학교 신축 기숙사에 출몰해 '병원 신세'
2023.10.19,39,계명대 신축 기숙사 빈대 출몰에 ‘뒷북 대처’ 나선 학교
2023.10.19,40,계명대 신축기숙사서 빈대 출몰…학생 물림 피해 호소
2023.10.19,41,"[영상] 대구 계명대도 빈대 출몰…""2차 감염에 염증 수치 80배"""
2023.10.19,42,인천 이어 대구에서도 발견...국내 '빈대 습격' 비상
2023.10.19,43,"""빈대 물린 거 같다""며 계명대 학생들이 공개한 피해 사진들"
2023.10.19,44,"계명대 신축 기숙사 '빈대 출몰'…대학 ""추가 피해 없이 방역 진행 중"""
2023.10.19,45,대학교 기숙사에 빈대 출몰 '발칵'…쉬쉬하다 뒤늦게 소독
2023.10.19,46,[뉴스추적] 빈대 공포 확산…1980년대 박멸됐는데 왜 다시 나타나나
2023.10.19,47,계명대 신축 기숙사 빈대 출몰…피해 학생 속출
2023.10.19,48,"""대학교 기숙사에 빈대가""…국내서도 출현 잦아지는 빈대"
2023.10.19,49,"[자막뉴스] ""대학 기숙사에 빈대가""…국내서도 출현 잦아지는 빈대"
2023.10.19,50,10월 19일 '뉴스 9' 헤드라인
2023.10.19,51,계명대 기숙사서 빈대 발견..피해 학생 병원 치료
2023.10.19,52,인천 이어 대구에서도 발견...국내 '빈대 습격' 비상
2023.10.19,53,유명 대학교 기숙사 XX 출몰…방역 요청했지만 “내 담당 아니다”
2023.10.20,1,"유럽 빈대 한국 상륙했나, 인천 이어 대구서도 출몰"
2023.10.20,2,[와글와글] 한국도 빈대?‥찜질방 이어 대학 기숙사 '발칵'
2023.10.20,3,"국내도 빈대 꿈틀대나…""염증수치 400"" 기숙사방 '발칵'"
2023.10.20,4,[굿모닝브리핑] '양치기 소년' 된 K바이오...신약 실패로 소액주주 손해...
2023.10.20,5,유럽서 기승 ‘빈대’…인천 찜질방 이어 대구 사립대 기숙사에도 출몰
2023.10.20,6,"계명대 기숙사서 빈대 발견…""매트리스‧침대 커버 폐기 조치"""
2023.10.20,7,[자막뉴스] 몸에 이상을 느껴 침대를 뒤집어 보니... '빈대 습격'
2023.10.20,8,"""내방에도 빈대가?""...침대에 '이 흔적' 확인하세요 [Y녹취록]"
2023.10.20,9,[뉴스라이더] 찜질방 이어 대학 기숙사에서도 출몰...돌아온 빈대?
2023.10.20,10,국내 빈대 습격 '비상'... 특유의 냄새도 남긴다? [Y녹취록]
2023.10.20,11,"'프랑스 골치' 빈대, 계명대 기숙사에도 출몰...""박멸도 어려워"""
2023.10.20,12,[시도때도없는 뉴스 10.20] 대구 계명대 신축 기숙사에 빈대 출몰…대학...
2023.10.20,13,"""빈대 불안"" 내 옷에 빈대 옮겼다면?...""봉투에 일주일 싸놔라"""
2023.10.20,14,한국도 빈대 습격…찜질방 이어 기숙사까지 `비상`
2023.10.20,15,"프랑스 강타한 '빈대' 출몰하다…계명대 영국 학생 쓰던 방에서, 인천 사..."
2023.10.20,16,"'기숙사에 빈대 출몰' 계명대학교 상황, 현재 이 정도로 심각하다 (사진..."
2023.10.20,17,‘빈대 출몰’ “대구 계명대 기숙사 침대보 교체? 사실 아냐”
2023.10.20,18,인천 이어 대구에서도 발견...국내 '빈대 습격' 비상
2023.10.20,19,"사라졌던 빈대의 출몰...""전국으로 퍼지는 건 시간문제"""
2023.10.20,20,국내 곳곳 빈대 출몰…박멸됐는데 재등장 이유는?
2023.10.20,21,"파리, 런던에 이어 한국도...흡혈 심한 빈대, 출몰 원인은? 빈대 물린자..."
2023.10.20,22,한국에도 또 다시 '빈대' 공포…찜질방 이어 대학 기숙사도?
2023.10.20,23,[따져보니] '빈대주의보' 왜?… 퇴치 어떻게?
2023.10.20,24,찜질방·기숙사까지… ‘빈대’ 따라왔을까 걱정된다면?
2023.10.21,1,간판 고장인데…오인 신고에 ‘가짜 테러’ 신고 몸살
2023.10.21,2,"[클로즈업 북한] 중국, 억류 탈북민 강제 북송…“살려주세요”"
2023.10.21,3,"바퀴벌레, 쥐랑 차원이 다르다…빈대 물림 증상·대처법 싹 알려드립니..."
2023.10.21,4,찜질방에 이어 기숙사에까지 출몰한 '빈대'...대처법은?
2023.10.21,5,"빈대의 습격, 1970년대 사라진 거 아니었어?"
2023.10.22,1,빈대에 흰개미…지하철 스팀방역에 목조건물 검진 등 곳곳 방제대책
2023.10.22,2,박수홍·압구정 박스녀에도 뒤졌다…관심 '뚝' 떨어진 국감 [신현보의 ...
2023.10.22,3,中맥주공장서 원료에 방뇨…국내 수입 맥주는 문제 없나?
2023.10.22,4,(약수터) 배드버그
2023.10.22,5,[참성단] 빈대 소동
2023.10.23,1,"""연애도 포기, 연구만 했는데 왜 우리를…"" 청년 연구자의 울분"
2023.10.23,2,"""너무 가려워"" 벅벅…'빈대' 물린 곳에 물파스, 효과 있을까? [한 장으로..."
2023.10.23,3,"[인터뷰] 해충 박사 ""모기가 피 한방울 빨때, 빈대는 다섯 방울"""
2023.10.23,4,70년대 박멸된 빈대가 왜 나와?…“해외 유입 가능성 커”
2023.10.23,5,"""부천 고시원서 빈대 물려"" 민원…전국서 빈대 신고 잇따라"
2023.10.23,6,"""부천 고시원서 빈대 물려"" 민원…전국서 빈대 신고 잇따라"
2023.10.23,7,[더뉴스] 도심 공원에 미국흰불나방 유충 '우글우글'...전국 확산 우려
2023.10.23,8,부천 고시원에서도 빈대 출몰···전국서 빈대 신고 잇따라
2023.10.23,9,'70년대에 박멸 성공했는데 갑자기 왜?!' 빈대 무서워 오들오들 떨고 있...
2023.10.23,10,"'빈대' 공포 현실화? 전국서 신고 잇따라…""부천 고시원서 물리기도"""
2023.10.23,11,인천·대구…부천에서도? 우리나라도 `빈대` 출몰 신고 잇따라
2023.10.23,12,"""부천 고시원에서 빈대 물려 치료했다"" 신고 들어와"
2023.10.23,13,“부천 고시원서 빈대 물려” 민원…전국서 빈대 신고
2023.10.23,14,부천 고시원에서도 물렸다?...전국 곳곳에서 출몰하는 '빈대'
2023.10.23,15,"전문가 ""국내 '빈대' 속출? 100% 해외 유입…60도 이상 뜨거운 물로 세탁..."
2023.10.23,16,“고시원서 빈대 나왔어요”… 전국 확산하는 ‘빈대 공포’
2023.10.23,17,부천 고시원에서도 빈대 출몰 신고…전국서 민원 속출
2023.10.23,18,[삼촌설] 빈대 확산
2023.10.23,19,“고시원서 빈대 물렸어요”…부천에서도 ‘빈대’ 신고
2023.10.23,20,"박멸된 것으로 알려진 빈대, 대구·인천 이어 부천 고시원서도 신고 전..."
2023.10.23,21,"'빈대 출몰, 이번엔 부천 고시원이다'…""새방으로 옮겼지만 거기서도"""
2023.10.23,22,[이슈있슈] 후쿠시마 앞바다 삼중수소 최대치 경신…‘마약 혐의’ 이선...
2023.10.23,23,"강제북송 경험한 탈북민의 증언 ""여성들 알몸에 뜀뛰기시켜"""
2023.10.23,24,"부천 고시원에도 빈대 출몰?...""민원 접수 후 확인 중"""
2023.10.23,25,"'빈대 공포' 이번엔 부천 고시원에서…""60도 이상에서 죽어"""
2023.10.23,26,피날 때 까지 '벅벅' 공포…생애 첫 유럽여행 망설인 이유 [이슈+]
2023.10.23,27,“고시원에서 물렸어요”…‘빈대 전국 유행’ 공포 현실화되나
2023.10.24,1,‘빈대 비상’ 침입을 차단하는 7가지 방법
2023.10.24,2,침대 매트리스 들췄더니 “악!”…물린 시민들 ‘병원행’ [잇슈 키워드...
2023.10.24,3,“21세기에 빈대가 웬 말?…전국 곳곳서 출몰 신고 잇따라
2023.10.24,4,"인천, 대구 이어 부천 고시원서도 빈대 출몰?…부천시 ""고시원은 사적으..."
2023.10.24,5,전국 빈대 창궐 현실화?…“찬물로 씻어라” 부천 고시원 안일한 대응 ...
2023.10.24,6,빈대 전성시대? 국내서 어디까지 출몰했나
2023.10.24,7,‘환절기 벌레의 습격’ 빈대에 송충이 닮은 벌레까지…원인은 ‘이상...
2023.10.24,8,콘센트에도 사는 빈대…새벽에 집단 공격
2023.10.24,9,[오뉴스 출연] 전국 곳곳 '빈대' 출몰 (양영철 을지대 보건환경안전학과...
2023.10.25,1,[리빙톡] 빈대가 뭐길래…프랑스도 한국도 '비상'
2023.10.25,2,[이덕환의 과학세상] 도무지 반갑지 않은 빈대의 귀환
2023.10.25,3,"'흡혈해충' 빈대의 대습격, 전문가 ""굶고도 100일 생존, 알에서 깬 순간..."
2023.10.25,4,"'흡혈해충' 빈대의 대습격, 전문가 ""굶고도 100일 생존, 알에서 깬 순간..."
2023.10.26,1,없어진 줄 알았더니…한국도 '빈대 안전지대' 아니야
2023.10.26,2,"[토마토레터 제283호] 프랑스 괴롭힌 '빈대', 한국에도 출몰한 이유는?"
2023.10.26,3,교내 식당이 변기보다 6만배 더럽다…심각한 美 대학 위생
2023.10.27,1,"""빈대 최고 서식지는 '따뜻한 침실', 전국 확산 시간문제"""
2023.10.27,2,"""빈대 최고 서식지는 '따뜻한 침실', 전국 확산 시간문제"""
2023.10.27,3,"을지대학교, 빈대의 전국 확산은 시간문제"
2023.10.27,4,"프랑스서 왔나?…""굶어도 100일 사는 빈대, 전국확산 시간문제"""
2023.10.27,5,"[김태열의 생생건강S펜] ""해외유입 베드버그(빈대), 국내확산 시간문제..."
2023.10.27,6,"""빈대 최고 서식지는 '따뜻한 침실'…전국 확산 시간문제"""
2023.10.27,7,'빈대 전국 확산 시간 문제'…을지대·을지대병원 전문가 의견은?
2023.10.27,8,“빈대 최고 서식지는 ‘따뜻한 침실’ 확산 시간문제”
2023.10.27,9,"확산 위험 '빈대', 가정용 살충제론 못 잡아…""70도 이상 물로 세탁해야..."
2023.10.27,10,"""빈대 최고 서식지는 따뜻한 침실"""
2023.10.27,11,"빈대 최고 서식지는 따뜻한 침실, 전국 확산은 시간문제?"
2023.10.27,12,따뜻한 침실 출몰하는 빈대…“전국 확산 시간문제”
2023.10.27,13,빈대 전국 확산 시간 문제… 집에서 ‘이곳’ 가장 주의해야
2023.10.27,14,'빈대' 가을·겨울 더 위험한 이유
2023.10.27,15,"""'빈대'만 문제 아니다"" 가을 '진드기' 평년보다 2배 증가"
2023.10.28,1,'흡혈' 없이도 70일이상 사는 빈대…최고 서식지는 '이곳'
2023.10.28,2,"살충제로도 못 잡는 '빈대'... 국내 상륙, 박멸하려면?"
2023.10.28,3,"""빈대 최고 서식지는 '따뜻한 침실'···전국 확산 시간문제"""
2023.10.28,4,‘빈대 출몰’ 비상… 빈대 박멸하려면 어떻게
2023.10.29,1,"“빈대 최고 서식지는 ‘따뜻한 침실’, 전국 확산 시간문제”"
2023.10.29,2,따뜻한 실내 … 빈대 서식 최적지
2023.10.29,3,"""빈대 최고 서식지는 '따뜻한 침실' … 전국 확산 시간문제"""
2023.10.30,1,"“공포의 빈대, 전국 확산은 시간 문제”… 가정용 살충제에도 잘 죽지..."
2023.10.30,2,"“빈대 최고 서식지는 ‘따뜻한 침실’, 전국 확산 시간문제”"
2023.10.30,3,[이윤석의 19세기 미시사 탐구(9)] '춘향전' 통해 그려보는 19세기 조선...
2023.10.30,4,"지면용|건강 박스1|“빈대 최고 서식지는 ‘따뜻한 침실’, 전국 확산 시..."
2023.10.30,5,빈대 최고 서식지는 바로 '이곳'... 전문가들 “전국 확산은 시간문제”...
2023.10.30,6,100일 넘게 굶고도 생존하는 실내 서식성 곤충은 □□
2023.10.30,7,[조법종 교수의 전라도 이야기] (16) 포크가 만난 조선의 여인 –전주기...
2023.10.30,8,흡혈 없이도 100일 이상 사는 빈대...전국 확산 시간문제 '빈대 주의보'
2023.10.30,9,[단독]서울 절반이 ‘빈대’에 뚫렸다
2023.10.30,10,도심공원 장악한 송충이 닮은 벌레…약도 못 쓰는데 발만 '동동'
2023.10.31,1,한국에도 '빈대' 출몰 주의보..피해 예방법은?
2023.10.31,2,빈대 서울까지 진출 '비상'…고시원·가정집 등 곳곳서 출몰
2023.10.31,3,서울 절반 ‘빈대’에 뚫렸다…고시원·가정집 등에 우글우글
2023.10.31,4,굶고도 100일 생존하며 피 빨아…서울 절반 '빈대'에 뚫렸다
2023.10.31,5,서울도 뚫렸다…빈대 서울 출몰 “서울시내 13개구에서 방역 작업”
2023.10.31,6,"""가려움증 완화는..!"" 서울까지 치고 올라온 빈대! 현직 피부과 의사가..."
2023.10.31,7,인천·대구 이어 서울도 '빈대' 뚫렸다…자치구 절반 이상서 방역 작업
2023.10.31,8,"[특징주] 동성제약, 서울 절반 ‘빈대’ 확산소식에…빈대 박멸 살충제..."
2023.10.31,9,“빈대 출현 시 이렇게 대응하세요”
2023.10.31,10,"'가려워서 벅벅' 혹시 집에 빈대가? ""침구 잘 살펴보세요"""
2023.10.31,11,"질병관리청, 빈대 방제·예방 앞장…내달부터 수입기업 관리"
2023.10.31,12,모기처럼 군데군데 원형 자국이…'빈대' 물렸을 때 대응법
2023.10.31,13,"전국 곳곳 '빈대 비상'…질병청 ""관리·방제 이렇게 하세요"""
2023.10.31,14,"정부, 빈대 점검 관리 강화…내달 공항서 예방수칙 안내"
2023.10.31,15,"공동·숙박시설서 빈대 출현…""위생해충 유입 차단 검역소 구제 업무 강..."
2023.10.31,16,‘바선생’보다 지독한 빈대···우리집도 뚫렸다면 어떻게 해야 하죠...
2023.10.31,17,"빈대 습격에 서울도 '비상'… ""살충제 뿌리고 마르면 환기하라"""
2023.10.31,18,'빈대' 잡기 위해 보건 관계부처 회의 열었다... 확산방지 논의
2023.10.31,19,"전국서 빈대 속출…""여행용품·숙박시설 소독 철저히 해야"""
2023.10.31,20,전국서 속출하자 '공포' 확산…'빈대 대처법' 알아보니
2023.10.31,21,“빈대 나왔다” 빗발치는 신고에…질병청 “방제 강화”
2023.10.31,22,빈대 출몰 불안감에 보건당국 확산방지 나서
2023.10.31,23,"""자고 일어나니 가렵고 따가워요""…英·佛 따라 급증하는 '빈대 피해사..."
2023.10.31,24,"""침대·가구 틈 '빈대' 주의…영국·프랑스 방문 후 여행용품 소독할 것..."
2023.10.31,25,"빈대 잇따라 발견…""여행용품·숙박시설 소독 철저히 해야"""
2023.10.31,26,때 아닌 '빈대주의보'…침대 매트리스·소파 틈새 노린다
2023.10.31,27,"속출하는 빈대...물리면 이렇게 된다, 대처 방안은"
2023.10.31,28,[연합뉴스 이 시각 헤드라인] - 14:30
2023.10.31,29,"때아닌 '빈대와의 전쟁'…""여행용품·숙박시설 소독 철저히"""
2023.10.31,30,서울서 빈대 확산 중… 매트리스에 '이 흔적' 있으면 의심
2023.10.31,31,"""물리적·화학적 방제 함께하고 다시 살펴야""…'빈대 주의보'"
2023.10.31,32,잇딴 '빈대' 출몰에 정부도 '화들짝'...빈대 퇴치 방법은?
2023.10.31,33,전국서 빈대 속출… 우리집도 뚫렸다면
2023.10.31,34,보건당국 “전국서 빈대 속출…여행용품·숙박시설 철저히 소독”
2023.10.31,35,"일렬로 물린 자국, 혹시 빈대…? 침대·가구 틈새 살펴보세요"
2023.10.31,36,전국 빗발치는 '빈대' 신고…물리면 '이렇게' 됩니다
2023.10.31,37,서울 곳곳에 빈대가! 대처법은?
2023.10.31,38,모기 물린 자국과 비슷…'I am 빈대에요'
2023.10.31,39,집 나갔던 ‘빈대’의 귀환…예방·퇴치 어떻게 하나요 [이슈크래커]
2023.10.31,40,"'3연상' 위니아, '화물 매각 지연에도' 아시아나IDT, '빈대 잡는' 경남제..."
2023.10.31,41,"엄습한 빈대 공포... 질병청 ""발견 시 물리·화학적 방제 동시에"""
2023.10.31,42,"전국 곳곳 빈대 속출...""여행용품·숙박시설 소독 철저히 해야"""
2023.10.31,43,[1분건강] 방심하면 우리 집에 빈대 옮겨 붙을지도
2023.10.31,44,서울 곳곳서 빈대 발견...고시원·가정집에 '득실'
2023.10.31,45,"""지하철 자리 있어도 서서 간다""…'빈대 공포'에 전국이 떤다"
2023.10.31,46,"질병청, ""집에서 빈대 보이면, 물리적 방제와 화학적 장제 병행해야"""
2023.10.31,47,"전국 곳곳서 빈대 속출‥""오염지 소독한 뒤 2주간 지켜봐야"""
2023.10.31,48,전국 각지서 속출하는 '빈대'…서식 확인·방제 어떻게?
2023.10.31,49,"전국서 빈대 속출…정부, 검역 강화 당부"
2023.10.31,50,"전국 곳곳서 빈대 확산조짐, 예방·치료법 주목...관련주도 들썩"
2023.10.31,51,"정부, 국내 빈대 속출에 관리 강화 당부"
2023.10.31,52,용산 대통령실 앞 70대 흉기 난동…경찰 2명 부상
2023.10.31,53,쉿! 빈대 출몰… 서울시는 골머리
2023.10.31,54,고시원·찜질방 등 전국서 ‘빈대주의보’… 대처법은?
2023.10.31,55,"""으악 이게 뭐야!"" 전국에 `빈대` 공포…예방·대응법은?"
2023.10.31,56,"""빈대! 매트리스·쇼파·침구류 등 틈새 살펴봐야"""
2023.10.31,57,전국 빈대 주의보…청주시는 안 뚫렸다
2023.10.31,58,"나는 일하고, 연애도 하는 노숙인입니다"
2023.10.31,59,빈대 '대공습'에 서울 절반이 뚫려…발견했다면 '이렇게' 제거하세요
2023.10.31,60,전국 곳곳에 침투한 빈대…예방·퇴치 방법은?
2023.11.01,1,전국 빈대 주의보…기숙사·사우나 등서 출몰
2023.11.01,2,서울도 확산…빈대포비아
2023.11.01,3,“모기 물려 부었나?…정말 ‘빈대’ 였을수도”
2023.11.01,4,[토마토레터 제287호] '케인의 토트넘'보다 '손흥민의 토트넘'이 더 강한...
2023.11.01,5,전국서 ‘빈대주의보’… “틈새 살피고 소독하세요”
2023.11.01,6,기숙사·찜질방·고시원 등 빈대 조심...전국 곳곳 빈대 출몰
2023.11.01,7,'빈대' 주의...공동·숙박시설 관리 강화
2023.11.01,8,무책임한 정부? 파리는 어쩌다 '빈대 창궐' 도시 됐나 [목수정의 바스티...
2023.11.01,9,"전국 곳곳 '빈대' 출몰…""발견 시 주의해야 할 점은?"""
2023.11.01,10,"전국서 빈대 속출…정부, '빈대 예방·대응 정보집' 홈페이지 게시"
2023.11.01,11,[공공돋보기] 빈대의 습격
2023.11.01,12,빈대에 우리집 뚫렸다면?···매트리스에 ‘이것’ 있으면 의심
2023.11.01,13,서울에도 '득실득실' 빈대 공포 확산…왜이렇게 퍼졌나
2023.11.01,14,[더뉴스] 고시원·찜질방 등 전국서 '빈대주의보'...물렸을 때 대처법은...
2023.11.01,15,"'빈대 주의보' 시민들 불안...""사우나 끊고 산책 때도 조심해요"""
2023.11.01,16,[이슈+] '흡혈 해충' 빈대가 돌아왔다…대응법과 예방책은?
2023.11.01,17,“서울마저 뚫렸다” 전국적으로 확산되고 있는 빈대...‘이렇게’ 대응...
2023.11.01,18,혹시 우리집에도?… 50년 만에 전국적으로 퍼진 '빈대 공포'
2023.11.01,19,“빈대 무서워 여행 당일치기로 바꿨어요”…'빈대 공포' 확산
2023.11.01,20,'대학까지 카르텔 프레임' 반발 확산.. '대입 주체 잠재 범죄자 취급하...
2023.11.01,21,“1평 방에 빈대 1000마리 바글” 인천 빈대 근원지로 지목된 ‘이곳’
2023.11.01,22,빈대와 8개월 사투 벌인 사람이 밝힌 '가장 효과적인 퇴치법'
2023.11.01,23,전국 곳곳 '빈대 주의보'⋯우리 집에 있는지 확인하려면?
2023.11.01,24,[오피니언] 이탈리아 여행기 - 현지 정보 편 [여행]
