날짜,번호,뉴스 제목
2023.10.19,23,[뉴스추적] 빈대 공포 확산…1980년대 박멸됐는데 왜 다시 나타나나
2023.10.19,24,인천 이어 대구에서도 발견...국내 '빈대 습격' 비상
2023.10.20,1,국적법 개정 기회 한국 국회서 외면
2023.10.20,2,"유럽서 기승 ‘빈대’, 국내 대학 신축 기숙사서 발견"
2023.10.20,3,[굿모닝브리핑] '양치기 소년' 된 K바이오...신약 실패로 소액주주 손해...
2023.10.20,4,"계명대 기숙사서 빈대 발견…""매트리스‧침대 커버 폐기 조치"""
2023.10.20,5,[자막뉴스] 몸에 이상을 느껴 침대를 뒤집어 보니... '빈대 습격'
2023.10.20,6,[뉴스라이더] 찜질방 이어 대학 기숙사에서도 출몰...돌아온 빈대?
2023.10.20,7,한국도 빈대 습격…찜질방 이어 기숙사까지 `비상`
2023.10.20,8,인천 이어 대구에서도 발견...국내 '빈대 습격' 비상
2023.10.20,9,"파리, 런던에 이어 한국도...흡혈 심한 빈대, 출몰 원인은? 빈대 물린자..."
2023.10.20,10,[2023 국감] 창업진흥원 직장 내 '잡음' 논란
2023.10.20,11,'소아과 의사'가 사라진 나라를 원하십니까? [사진으로 보는 일주일]
2023.10.20,12,한국에도 또 다시 '빈대' 공포…찜질방 이어 대학 기숙사도?
2023.10.21,1,빈대 ‘40년만의 습격’… 외국인 머문 곳서 출몰하는 이유
2023.10.21,2,파리 이어 런던까지… 유럽 ‘빈대 공포’ 확산
2023.10.21,3,코로나 이후 관광객·난민 급증하며 확산된 듯
2023.10.21,4,간판 고장인데…오인 신고에 ‘가짜 테러’ 신고 몸살
2023.10.21,5,"살충제 내성 '슈퍼빈대' 전국 곳곳서 출몰, 확산 공포 엄습…왜 다시 나..."
2023.10.22,1,빈대에 흰개미…지하철 스팀방역에 목조건물 검진 등 곳곳 방제대책
2023.10.23,1,"""살충제 소용없어""…한국 뜬 빈대, 유럽이 치떠는 그놈이었다"
2023.10.23,2,70년대 박멸된 빈대가 왜 나와?…“해외 유입 가능성 커”
2023.10.23,3,"""부천 고시원서 빈대 물려"" 민원…전국서 빈대 신고 잇따라"
2023.10.23,4,"""부천 고시원서 빈대 물려"" 민원…전국서 빈대 신고 잇따라"
2023.10.23,5,부천 고시원에서도 빈대 출몰···전국서 빈대 신고 잇따라
2023.10.23,6,'70년대에 박멸 성공했는데 갑자기 왜?!' 빈대 무서워 오들오들 떨고 있...
2023.10.23,7,"'빈대' 공포 현실화? 전국서 신고 잇따라…""부천 고시원서 물리기도"""
2023.10.23,8,인천·대구…부천에서도? 우리나라도 `빈대` 출몰 신고 잇따라
2023.10.23,9,"""부천 고시원에서 빈대 물려 치료했다"" 신고 들어와"
2023.10.23,10,“부천 고시원서 빈대 물려” 민원…전국서 빈대 신고
2023.10.23,11,부천 고시원에서도 물렸다?...전국 곳곳에서 출몰하는 '빈대'
2023.10.23,12,"""부천 고시원서 빈대 물려"" 민원‥전국서 빈대 신고 잇따라"
2023.10.23,13,“고시원서 빈대 나왔어요”… 전국 확산하는 ‘빈대 공포’
2023.10.23,14,부천 고시원에서도 빈대 출몰 신고…전국서 민원 속출
2023.10.23,15,“고시원서 빈대 물렸어요”…부천에서도 ‘빈대’ 신고
2023.10.23,16,“옷·침대·부엌에도 벌레가 나왔어요”…고시원에서 빈대 출몰 신고 ...
2023.10.23,17,"박멸된 것으로 알려진 빈대, 대구·인천 이어 부천 고시원서도 신고 전..."
2023.10.23,18,"'빈대 출몰, 이번엔 부천 고시원이다'…""새방으로 옮겼지만 거기서도"""
2023.10.23,19,[이슈있슈] 후쿠시마 앞바다 삼중수소 최대치 경신…‘마약 혐의’ 이선...
2023.10.23,20,"부천 고시원에도 빈대 출몰?...""민원 접수 후 확인 중"""
2023.10.23,21,[여기는 원주] 2024강원동계청소년올림픽 “매서운 추위 막아라”
2023.10.23,22,"'빈대 공포' 이번엔 부천 고시원에서…""60도 이상에서 죽어"""
2023.10.23,23,“고시원에서 물렸어요”…‘빈대 전국 유행’ 공포 현실화되나
2023.10.23,24,2024강원동계청소년올림픽 “매서운 추위 막아라”
2023.10.23,25,"2024 강원동계청소년올림픽, “매서운 추위 막아라”"
2023.10.23,26,[횡설수설/이정은]빈대 ‘40년 만의 습격’… 佛·英 이어 한국도
2023.10.24,1,'빈대' 피해신고 잇따라‥이번엔 부천 고시원 '발칵'
2023.10.24,2,"2024강원동계청소년올림픽, “매서운 추위 막아라”"
2023.10.24,3,“21세기에 빈대가 웬 말?…전국 곳곳서 출몰 신고 잇따라
2023.10.24,4,"인천, 대구 이어 부천 고시원서도 빈대 출몰?…부천시 ""고시원은 사적으..."
2023.10.24,5,전국 빈대 창궐 현실화?…“찬물로 씻어라” 부천 고시원 안일한 대응 ...
2023.10.24,6,"하마스, 이스라엘 여성 인질 2명 추가 석방 外 [오늘의 주요뉴스]"
2023.10.24,7,빈대 전성시대? 국내서 어디까지 출몰했나
2023.10.24,8,‘환절기 벌레의 습격’ 빈대에 송충이 닮은 벌레까지…원인은 ‘이상...
2023.10.24,9,"빈대가 점령한 영국은 지금...""치료제가 부족하다!"""
2023.10.24,10,사우나 이어 기숙사에서도…한국에 ‘빈대 팬데믹’ 올까
2023.10.24,11,물 건너온 슈퍼 빈대…“국제택배 조심”
2023.10.25,1,모기에 물린 줄 알았는데… 흡혈 해충 ‘빈대’가 나타났다
2023.10.25,2,가렵고 쓰라리고…곳곳 출몰 '빈대' 막으려면
2023.10.25,3,[이덕환의 과학세상] 도무지 반갑지 않은 빈대의 귀환
2023.10.25,4,"'흡혈해충' 빈대의 대습격, 전문가 ""굶고도 100일 생존, 알에서 깬 순간..."
2023.10.25,5,"'흡혈해충' 빈대의 대습격, 전문가 ""굶고도 100일 생존, 알에서 깬 순간..."
2023.10.25,6,수도권 습격한 '빈대'… 광주·전남은?
2023.10.26,1,없어진 줄 알았더니…한국도 '빈대 안전지대' 아니야
2023.10.26,2,교내 식당이 변기보다 6만배 더럽다…심각한 美 대학 위생
2023.10.26,3,“잊고 살았는데”…살충제도 소용없는 강력한 ‘빈대의 귀환’
2023.10.27,1,[카드뉴스] 모기 아니에요! 빈대 발견한다면 즉시 보건소 신고하세요!
2023.10.27,2,"'라디오쇼' 박명수, 남현희 사건에 탄식..""모르는 사람 호의=100% 사기""[..."
2023.10.29,1,"60년 전 유입된 나방, 40년 전 사라졌던 빈대도 돌아왔다"
2023.10.30,1,"[인천일보 경기본사 시민편집위] 사회문제 경종 보도 높이 평가…""현장..."
2023.10.30,2,[단독]서울 절반이 ‘빈대’에 뚫렸다
2023.10.30,3,"한국, 빈대 안전지대 아니다…곳곳서 신고 잇따라"
2023.10.30,4,서울도 뚫렸다…빈대 출몰에 13개구서 방역 작업 실시
2023.10.31,1,빈대 서울까지 진출 '비상'…고시원·가정집 등 곳곳서 출몰
2023.10.31,2,"""고시원에 빈대"" 갔더니 이미 방 4곳서 우글우글…서울도 뚫렸다"
2023.10.31,3,서울 절반 '빈대'에 뚫렸다...인천·대구 이어 비상
2023.10.31,4,서울 절반 ‘빈대’에 뚫렸다…고시원·가정집 등에 우글우글
2023.10.31,5,빈대 안전지역은 없다? 서울 13개 구에서도 '빈대 방역'
2023.10.31,6,서울도 뚫렸다…빈대 서울 출몰 “서울시내 13개구에서 방역 작업”
2023.10.31,7,인천·대구 이어 서울도 '빈대' 뚫렸다…자치구 절반 이상서 방역 작업
2023.10.31,8,"""가려움증 완화는..!"" 서울까지 치고 올라온 빈대! 현직 피부과 의사가..."
2023.10.31,9,"[특징주] 동성제약, 서울 절반 ‘빈대’ 확산소식에…빈대 박멸 살충제..."
2023.10.31,10,이제 한국도 청정국 아닌가...서울까지 '빈대 습격' [지금이뉴스]
2023.10.31,11,“빈대 출현 시 이렇게 대응하세요”
2023.10.31,12,"'가려워서 벅벅' 혹시 집에 빈대가? ""침구 잘 살펴보세요"""
2023.10.31,13,"질병관리청, 빈대 방제·예방 앞장…내달부터 수입기업 관리"
2023.10.31,14,"[오늘의 상승주] 서울 '빈대 확산' 동성제약 상승세…아모레퍼시픽, 코..."
2023.10.31,15,모기처럼 군데군데 원형 자국이…'빈대' 물렸을 때 대응법
2023.10.31,16,"전국 곳곳 '빈대 비상'…질병청 ""관리·방제 이렇게 하세요"""
2023.10.31,17,"정부, 빈대 점검 관리 강화…내달 공항서 예방수칙 안내"
2023.10.31,18,"공동·숙박시설서 빈대 출현…""위생해충 유입 차단 검역소 구제 업무 강..."
2023.10.31,19,‘바선생’보다 지독한 빈대···우리집도 뚫렸다면 어떻게 해야 하죠...
2023.10.31,20,"빈대 습격에 서울도 '비상'… ""살충제 뿌리고 마르면 환기하라"""
2023.10.31,21,'빈대' 잡기 위해 보건 관계부처 회의 열었다... 확산방지 논의
2023.10.31,22,"전국서 빈대 속출…""여행용품·숙박시설 소독 철저히 해야"""
2023.10.31,23,전국 곳곳 '빈대' 속출에 방역강화…서울은 절반이 뚫렸다
2023.10.31,24,전국서 속출하자 '공포' 확산…'빈대 대처법' 알아보니
2023.10.31,25,“빈대 나왔다” 빗발치는 신고에…질병청 “방제 강화”
2023.10.31,26,빈대 출몰 불안감에 보건당국 확산방지 나서
2023.10.31,27,"""자고 일어나니 가렵고 따가워요""…英·佛 따라 급증하는 '빈대 피해사..."
2023.10.31,28,"""침대·가구 틈 '빈대' 주의…영국·프랑스 방문 후 여행용품 소독할 것..."
2023.10.31,29,"서울까지 침투한 빈대…시민들 ""요즘 시대에 빈대라니"""
2023.10.31,30,"대구 인천, 부천에 이어 서울까지 '빈대' 상륙했다"
2023.10.31,31,"빈대 잇따라 발견…""여행용품·숙박시설 소독 철저히 해야"""
2023.10.31,32,때 아닌 '빈대주의보'…침대 매트리스·소파 틈새 노린다
2023.10.31,33,"전국서 빈대 속출…""여행용품·숙박시설 소독 철저히 해야"""
2023.10.31,34,"""공급대란 올까 걱정""…빈대 확산에 '두둥실' 떠오르는 종목"
2023.10.31,35,"때아닌 '빈대와의 전쟁'…""여행용품·숙박시설 소독 철저히"""
2023.10.31,36,"정부, 빈대 검역 강화…빈대 발생국 출입국자 등에 예방수칙 안내"
2023.10.31,37,"""물리적·화학적 방제 함께하고 다시 살펴야""…'빈대 주의보'"
2023.10.31,38,"[특징주] 경남제약, 전국 빈대 확산에 급등"
2023.10.31,39,잇딴 '빈대' 출몰에 정부도 '화들짝'...빈대 퇴치 방법은?
2023.10.31,40,"기숙사, 사우나 등 빈대 속출에 정부 방제 방안 마련"
2023.10.31,41,전국서 빈대 속출… 우리집도 뚫렸다면
2023.10.31,42,보건당국 “전국서 빈대 속출…여행용품·숙박시설 철저히 소독”
2023.10.31,43,"전국서 빈대 속출…""여행용품·숙박시설 소독 철저히 해야"""
2023.10.31,44,"일렬로 물린 자국, 혹시 빈대…? 침대·가구 틈새 살펴보세요"
2023.10.31,45,전국 빗발치는 '빈대' 신고…물리면 '이렇게' 됩니다
2023.10.31,46,서울 곳곳에 빈대가! 대처법은?
2023.10.31,47,집 나갔던 ‘빈대’의 귀환…예방·퇴치 어떻게 하나요 [이슈크래커]
2023.10.31,48,"전국 곳곳 빈대 속출...""여행용품·숙박시설 소독 철저히 해야"""
2023.10.31,49,[1분건강] 방심하면 우리 집에 빈대 옮겨 붙을지도
2023.10.31,50,與 '김포 서울 편입' 특별법 추진...행정구역 개편 준비 外 [오늘의 주요...
2023.10.31,51,"""지하철 자리 있어도 서서 간다""…'빈대 공포'에 전국이 떤다"
2023.10.31,52,"질병청, ""집에서 빈대 보이면, 물리적 방제와 화학적 장제 병행해야"""
2023.10.31,53,전국 각지서 속출하는 '빈대'…서식 확인·방제 어떻게?
2023.10.31,54,찜질방·기숙사 이어 서울에도 '빈대' 출몰… 해결책은?
2023.10.31,55,"전국서 빈대 속출…정부, 검역 강화 당부"
2023.10.31,56,"전국 곳곳서 빈대 확산조짐, 예방·치료법 주목...관련주도 들썩"
2023.10.31,57,"정부, 국내 빈대 속출에 관리 강화 당부"
2023.10.31,58,용산 대통령실 앞 70대 흉기 난동…경찰 2명 부상
2023.10.31,59,쉿! 빈대 출몰… 서울시는 골머리
2023.10.31,60,고시원·찜질방 등 전국서 ‘빈대주의보’… 대처법은?
2023.10.31,61,"""으악 이게 뭐야!"" 전국에 `빈대` 공포…예방·대응법은?"
2023.10.31,62,"""빈대! 매트리스·쇼파·침구류 등 틈새 살펴봐야"""
2023.10.31,63,전국 빈대 주의보…청주시는 안 뚫렸다
2023.10.31,64,"나는 일하고, 연애도 하는 노숙인입니다"
2023.10.31,65,빈대 '대공습'에 서울 절반이 뚫려…발견했다면 '이렇게' 제거하세요
2023.10.31,66,전국 곳곳에 침투한 빈대…예방·퇴치 방법은?
2023.11.01,1,전국 빈대 주의보…기숙사·사우나 등서 출몰
2023.11.01,2,서울도 확산…빈대포비아
2023.11.01,3,“모기 물려 부었나?…정말 ‘빈대’ 였을수도”
2023.11.01,4,전국서 ‘빈대주의보’… “틈새 살피고 소독하세요”
2023.11.01,5,기숙사·찜질방·고시원 등 빈대 조심...전국 곳곳 빈대 출몰
2023.11.01,6,"경남제약, 전국적 빈대 출몰 소식에 연일 강세"
2023.11.01,7,'빈대' 주의...공동·숙박시설 관리 강화
2023.11.01,8,"[특징주] 동성제약, 전국 ‘빈대 공포’ 확산...‘비오킬’ 판매량 10배..."
2023.11.01,9,전국 빗발치는 ‘빈대’ 신고에 동성제약 ‘비오킬’ 판매 급증
2023.11.01,10,무책임한 정부? 파리는 어쩌다 '빈대 창궐' 도시 됐나 [목수정의 바스티...
2023.11.01,11,"전국 곳곳 '빈대' 출몰…""발견 시 주의해야 할 점은?"""
2023.11.01,12,"전국서 빈대 속출…정부, '빈대 예방·대응 정보집' 홈페이지 게시"
2023.11.01,13,"서울시 ""빈대 예방 매뉴얼 배포"" 방역 강화"
2023.11.01,14,"매트리스 케어 전문기업 지움, 침대 매트리스 살균건조기술로 중기부 기..."
2023.11.01,15,[공공돋보기] 빈대의 습격
2023.11.01,16,빈대에 우리집 뚫렸다면?···매트리스에 ‘이것’ 있으면 의심
2023.11.01,17,서울에도 '득실득실' 빈대 공포 확산…왜이렇게 퍼졌나
2023.11.01,18,“‘빈대 박멸’ 의뢰 하루 30건 쏟아져…호텔은 물론 영화관서도”
2023.11.01,19,[이 특징주 버핏이라면] 전국 빈대 창궐 소식에 '해충 기피제' 판매 제약...
2023.11.01,20,"'빈대 주의보' 시민들 불안...""사우나 끊고 산책 때도 조심해요"""
2023.11.01,21,"고양시, 빈대 발생 예방..공중위생업소 위생 점검 강화"
2023.11.01,22,"""빈대 무서워서 지하철 자리 나도 못 앉아요""...전국이 '빈대 공포'에 몸..."
2023.11.01,23,혹시 우리집에도?… 50년 만에 전국적으로 퍼진 '빈대 공포'
2023.11.01,24,“저게 다 빈대의 흔적”…쪽방촌·고시원은 ‘빈대와의 전쟁’ 중
2023.11.01,25,전국 곳곳서 빈대 출몰 '공포' 확산
2023.11.01,26,전국적 잇따른 빈대 출몰에 시민 불안 커지지만 개인 방역 외 대책 없어
2023.11.01,27,“빈대 무서워 여행 당일치기로 바꿨어요”…'빈대 공포' 확산
2023.11.01,28,'대학까지 카르텔 프레임' 반발 확산.. '대입 주체 잠재 범죄자 취급하...
2023.11.01,29,전국 곳곳 '빈대 주의보'⋯우리 집에 있는지 확인하려면?
2023.11.01,30,'가려움·알레르기' 빈대 주의보…도심 우려 확산
2023.11.01,31,남구보건소 동절기 정화조 유충구제 실시...빈대신고 '0건'
2023.11.01,32,강원특별자치도에서도 '빈대 피해' …방역당국 대응 착수
2023.11.01,33,쪽방 벽엔 무수한 빈대 피…“밤마다 몸 가려워 죽겠다”
2023.11.02,1,‘빈대’ 출현 피해사례 이어져…빈대 대응 방안은?
2023.11.02,2,[오늘 아침 신문] 가족 '유령직원'에 급여‥기막힌 회계사들
2023.11.02,3,전국 때 아닌 '빈대주의보'...해외 여행용품·숙박시설 등 소독 필수
2023.11.02,4,"'빈대 확산 우려'에 도봉구, 공중위생업소 특별위생점검"
2023.11.02,5,"'빈대 신고 0건' 고양시, 숙박·목욕·세탁업소 등 방역 강화"
2023.11.02,6,‘빈대 포비아’ 확산에…“‘고온 빨래’ 코인세탁소엔 빈대 못 살아”
2023.11.02,7,"도봉구, '빈대 확산 공포'에 공중위생업소 대상 특별 위생점검"
2023.11.02,8,"빈대 창궐에 ""천 좌석에 못 앉겠다""…공포 확산"
2023.11.02,9,"“빈대 예방 이렇게 하세요”…안산시, 위생점검 나서"
2023.11.02,10,"저게 다 '빈대' 흔적?…""지하철도 못 앉겠다"" 전국 공포 확산"
2023.11.02,11,빈대 확산에 숙박시설·병원·기숙사 '비상'…방제 필요성 ↑
2023.11.02,12,"'빈대 확산 공포'... 도봉구, 숙박업소 등 특별 위생 점검"
2023.11.02,13,"빈대 확산 우려에… 도봉구, 숙박업소·목욕탕 등 특별 위생 점검"
2023.11.02,14,방역 강화에도 ‘빈대 포비아’ 확산
2023.11.02,15,빈대 공포에 '퇴치법' 영상도 유행…전문가들 의견은?
2023.11.02,16,'빈대 포비아' 연일 확산...질병관리청 '빈대 예방·대응 정보집' 소개
2023.11.02,17,"[르포+] ""빈대 같아요""…의심 신고에 서울 한 대학 기숙사 긴급방역"
2023.11.02,18,"“월 1건, 하루 3건으로 늘었다”…국내 빈대 확산에 방역업체도 ‘비상..."
2023.11.02,19,강원서도 ‘빈대 피해’…방역당국 대책 마련 나서
2023.11.02,20,급격히 번지는 '공포의 빈대'…외국인 유입 등 복합적 원인
2023.11.02,21,"'빈대 확산 공포'...도봉구, 공중위생업소 특별 위생 점검"
2023.11.02,22,"서울서 발견된 빈대, 유럽發아냐...지하철에도 있을까?"
2023.11.02,23,벌레만 보면 깜짝…부산도 '빈대 공포증' 확산
2023.11.02,24,"""가려워 잠설쳐""… 대전도 '빈대주의보' 시민 불안 확산"
2023.11.02,25,"도봉구, 빈대 확산 막는다…공중위생업소 특별점검"
2023.11.03,1,"경남제약, 주가 급등…'빈대+조류독감' 방역 촉각"
2023.11.03,2,"""빈대 퇴치"" 전화통 불난다…외국인 많은 용산 '비상'"
2023.11.03,3,[의학칼럼] 빈대주의보
2023.11.03,4,"[한컷건강] ""빈대 원래 있었다""...서울 빈대 출몰 사실은"
2023.11.03,5,"전국서 빈대 신고 속출…부산시, 방제 방안 홍보"
2023.11.03,6,"엑스포 유치 나선 부산시, ‘빈대 확산 막아라’ 비상"
2023.11.03,7,"전국서 빈대 신고 속출…부산시, 방제 방안 홍보"
2023.11.03,8,"""지하철 자리 있어도 앉기 무섭다""…전국 숙박업소·PC방·영화관 등 '빈..."
2023.11.03,9,"빈대 유행, 대응 어떻게?…부산시, 홍보 강화"
2023.11.03,10,찜질방 빈대 확산 공포…인천시 공중위생업소 위생점검
2023.11.03,11,"""유럽 빈대 들어올 가능성 차단"" 푸틴, EU 추가 대러 제재 조롱"
2023.11.03,12,"찜질방 빈대 출현… 인천시, 목욕탕·숙박업소 위생점검 나서"
2023.11.03,13,숙박업소·PC방·영화관 등 '빈대 공포'... 물렸을 때 대처법은?
2023.11.03,14,"“유럽 빈대 들어올 가능성 없어 좋다” 푸틴, EU 추가 대러 제재 조롱"
2023.11.03,15,"서울시, 빈대 신고하면 방제 지원...'빈대 제로도시 프로젝트' 추진"
2023.11.03,16,"빈대 신고·방제확인 '3중 방역'…서울시, 숙박시설·쪽방촌·고시원 집..."
2023.11.03,17,"'빈대 제로 도시, 서울' 프로젝트…신고·방제·확인 '3중 방역방'"
2023.11.03,18,"""먹이 없이도 120일 생존""...벌레만 봐도 철렁, 전국 '빈대 소동'"
2023.11.03,19,‘빈대공포’ 확산세에···빈대퇴치 제약주 강세
2023.11.03,20,"서울시, '빈대 제로' 도시 만든다"
2023.11.03,21,"서울시, 빈대 방제 위해 숙박·다중이용시설 등 특별점검"
2023.11.03,22,'빈대 비상' 서울시 신고센터 운영…쪽방촌·고시원 방제 지원
2023.11.03,23,"‘빈대 출몰 공포’에 서울시, 숙박시설·쪽방촌 방제 강화"
2023.11.03,24,빈대 방역 나선다…숙박·쪽방촌·고시원 관리
2023.11.03,25,"'빈대 제로' 도시 만든다…서울시, 신고·출동·방역망 구축"
2023.11.03,26,빈대 대응책 부산시 홈페이지 공지
2023.11.03,27,"서울시, 빈대 제로도시 만든다 “우리집 빈대 흔적은?”"
2023.11.03,28,서울 ‘빈대 제로화’ 프로젝트… 지하철 의자 소독 등 집중
2023.11.03,29,신고부터 방제·확인까지…'빈대 제로 서울' 위한 3중 방역망 구축
2023.11.03,30,전국서 ‘빈대 노이로제’…부랴부랴 방역 대책 내놓는 지자체들
2023.11.03,31,국내 기숙사·고시원 빈대 출현…의료기관도 '주의'
2023.11.03,32,"푸틴 ""유럽 빈대 안들어와 좋다""…EU 추가 제재 맹비난"
2023.11.03,33,"[생활경제 이슈] 홈앤쇼핑, 카우프 종아리 마사지기 론칭 外"
2023.11.03,34,“빈대 발견하면 온라인 신고하세요”…서울시 방역 나선다
2023.11.03,35,"서울시, '빈대 제로도시' 만든다…신고·관리체계 구축"
2023.11.03,36,치명률 20%인데 백신·치료제 無…빈대 이어 이것까지 활개
2023.11.03,37,"‘빈대와의 전쟁’에 서울·인천시, 숙박목욕시설·고시원 등 집중 관리"
2023.11.03,38,"푸틴 ""유럽 빈대 들어올 가능성 줄었다""…EU 추가 대러 제재 '조롱'"
2023.11.03,39,"[단독] 질병청, 세스코 만나 ‘빈대 퇴치 노하우’ 듣는다"
2023.11.03,40,"[서울] 서울시, '빈대 발생 신고 센터' 운영...신속 방제"
2023.11.03,41,"부산시, 공동·숙박시설 빈대 관리 및 방제 방안 홍보"
2023.11.03,42,"""빈대 보면 신고하세요""...서울시, 빈대 제로 프로젝트 추진"
2023.11.03,43,서울시 '빈대와의 전쟁'…신고·점검·방제까지 '3중 방역망' 친다
2023.11.03,44,"서울시, '빈대 제로 도시' 만든다…숙박시설·찜질방 3175곳 특별점검"
2023.11.03,45,"서울시, '빈대 제로' 도시 만든다…신고·관리체계 구축"
2023.11.03,46,‘빈대 비상’… 5억 들여 쪽방촌·고시원 집중 관리
2023.11.03,47,"빈대보면 보건소나 120으로…서울시, 빈대 신고센터 가동"
2023.11.03,48,"‘빈대 제로도시’ 만든다…서울시, 신고·출동·방역망 구축"
2023.11.03,49,"‘빈대 제로도시 프로젝트’…서울시, 빈대 신고·관리 강화"
2023.11.03,50,"서울시, 쪽방촌·숙박시설 빈대 방제 지원"
2023.11.03,51,"전국 빈대 출몰에… 정부, '빈대 합동대책본부' 꾸렸다"
2023.11.03,52,"서울시, '빈대 발생' 신고센터 운영... '예방시설' 스티커 부착"
2023.11.03,53,서울 빈대 어디까지 왔니?｜빈대 흔적 확인법 5단계 [인싸_이슈]
2023.11.03,54,"서울시, 빈대 확산 방지 및 피해 최소화 위해 방제 지원"
2023.11.03,55,"""시내 숙박·목욕시설 3천 곳 점검""‥서울시, '빈대발생 신고센터' 운영"
2023.11.03,56,[뉴-리폿] 서울에도 흡혈 벌레가? 서울시 '빈대 신고센터' 운영
2023.11.03,57,서울도 빈대 확산…우리집 빈대 조사 방법 5단계
2023.11.03,58,"서울시, '빈대 공포'에 신고·방제 '원스톱' 지원"
2023.11.03,59,"""빈대는 안 들어오겠군"" EU의 러 제재에 푸틴 코웃음"
2023.11.03,60,"“물리면 심한 가려움증”… 전국 각지서 ‘빈대 주의보’, 대응은"
2023.11.03,61,"서울시, '빈대 제로(bedbug zero)' 프로젝트 가동"
2023.11.03,62,서울시 빈대퇴치 체계 강화...‘신고센터 운영·지하철 고온스팀 청소’
2023.11.03,63,"빈대 공포 확산에…서울시, `빈대 제로도시 프로젝트` 추진"
2023.11.03,64,전국서 빈대 속출···'스팀 소독' 효과적
2023.11.03,65,"질병청, 6일 해충방역업체와 빈대 출현 현황 파악"
2023.11.03,66,"서울시, ‘빈대 제로 도시, 서울’ 프로젝트 가동"
2023.11.03,67,"'빈대와의 전쟁' 선포한 서울시, 3중 방역망 가동… 5억 투입해 고시원..."
2023.11.03,68,"코레일, '빈대' 피해 예방 '총력'...선제적 방역 강화"
2023.11.03,69,'빈대 정부합동대책본부' 가동…긴급대책 회의 소집
2023.11.03,70,빈대 확산에 '정부합동대책본부' 띄웠다
2023.11.03,71,"질병청, 6일 해충방역업체 만나 빈대 출현 현황 파악"
2023.11.03,72,"""신고하면 즉시 출동"" 서울 '빈대와의 전쟁'"
2023.11.03,73,"질병청, 빈대 속출에 해충방역업체 만난다"
2023.11.03,74,‘빈대 정부합동대책본부’도 떴다…실효성 있는 방제 방안 찾는다
2023.11.03,75,"질병청, 해충방역업체와 빈대 출현 현황 파악 나선다"
2023.11.03,76,'빈대' 무임승차 막아라…열차·공항버스 등 방역 강화
2023.11.03,77,"질병청, 6일 해충방역업체와 빈대 출현 현황 파악"
2023.11.03,78,"[8뉴스 예고] 인요한 혁신위 ""친윤 총선 불출마 또는 험지 출마"" 등"
2023.11.03,79,서울시 빈대 대책 마련…신고·출동·방역망 수립
2023.11.03,80,전국서 빈대 속출···정부합동대책본부 가동
2023.11.03,81,"빈대 공포 커지자…정부, '빈대 정부합동대책본부' 꾸려"
